MCOI-8	-106.273918400000000	35.862496800000000	2006-01-30	938	Y	N	8
CrEX-4	-106.257978400000000	35.859934000000000	2017-12-05	398	Y	Y	1
R-62	-106.266465800000000	35.863120600000000	2019-05-14	326	Y	Y	63
R-50 S1	-106.255907600000000	35.856655300000000	2012-03-08	99.8	Y	Y	106
02-01021	-106.292927199999000	35.876393499999900	1994-06-15	85	Y	N	6
R-9	-106.223606399999000	35.866981799999900	1997-12-20	75	Y	N	53
SCPZ-11(A)	-106.310584600000000	35.873650599999900	2014-08-01	76.51	Y	Y	4
CrEX-3	-106.254952200000000	35.859668800000000	2019-02-27	193	Y	Y	2
R-70 S2	-106.245949999999000	35.859789999999900	2019-05-27	238	Y	Y	1
MCOI-6	-106.267114000000000	35.860337999999900	2016-11-08	86.6	Y	Y	108
SCI-2	-106.261007100000000	35.863698599999900	2008-10-21	660	Y	Y	101
SCA-4	-106.257277000000000	35.863467999999900	2008-05-12	95.2	Y	N	20
CrEX-2	-106.260877699999000	35.858983400000000	2017-05-15	367	Y	Y	2
SCPZ-2	-106.314758500000000	35.875405299999900	2014-07-30	73.03	Y	Y	6
R-5 OB	-106.228767199999000	35.873070499999900	2001-05-12	538	Y	N	4
SCPZ-3	-106.314736100000000	35.875528000000000	2014-08-01	50.82	Y	Y	6
R-42	-106.259135000000000	35.861293600000000	2010-11-10	995	Y	Y	66
MCOBT-4.4	-106.271015199999000	35.860574900000000	2002-04-22	53.6	Y	N	7
SWA-4-10	-106.310619700000000	35.873572299999900	2018-07-25	72	Y	Y	19
SWA-4-12	-106.310561600000000	35.873700100000000	2017-08-15	56.2	Y	Y	19
MCO-0.6	-106.305451400000000	35.867885100000000	2010-07-02	662	Y	N	25
SCA-1-DP	-106.310536600000000	35.873610999999900	2010-11-11	97.6	Y	N	27
PCO-1	-106.258426099999000	35.837158299999900	1993-06-07	81	N	N	12
SWA-1-2	-106.314756300000000	35.875417700000000	2017-08-16	72.6	Y	Y	21
R-15 OB	-106.267239200000000	35.859910200000000	1999-07-22	689	Y	N	4
SCPZ-11(B)	-106.310597599999000	35.873652600000000	2014-07-31	61.32	Y	Y	4
41-01045	-106.335296700000000	35.878831900000000	1994-06-13	66	Y	N	4
CrEX-1	-106.256671000000000	35.857846000000000	2014-11-25	201	Y	Y	5
