00-01535	-106.297340000000000	35.880789999999900	1994-03-31	400	Y	N	1
02-01021	-106.292930000000000	35.876390000000000	1994-06-15	85	Y	N	6
02-01075	-106.287090000000000	35.875430000000000	1994-10-28	5300	Y	N	4
18-01060	-106.271140000000000	35.844259999999900	2000-09-05	96	Y	N	12
18-01135	-106.268800000000000	35.842100000000000	2000-10-17	80.8	Y	N	12
18-01255	-106.266220000000000	35.840110000000000	1995-08-03	80.5	Y	N	2
18-01685	-106.251660000000000	35.832369999999900	1995-08-03	983	Y	N	1
36-02021	-106.245670000000000	35.830150000000000	1995-01-31	55.3	Y	N	5
41-01045	-106.335300000000000	35.878830000000000	1994-06-13	66	Y	N	4
73-01009	-106.272340000000000	35.881470000000000	1995-02-24	57.7	Y	N	3
CrCH-1	-106.261080000000000	35.859009999999900	2014-10-15	88.5	Y	N	2
CrEX-1	-106.256670000000000	35.857849999999900	2014-11-25	201	Y	Y	5
CrEX-2	-106.260880000000000	35.858980000000000	2017-05-15	367	Y	Y	2
CrEX-3	-106.254949999999000	35.859670000000000	2019-02-27	193	Y	Y	2
CrIN-1	-106.251099999999000	35.859969999999900	2016-11-09	81.6	Y	Y	4
CrIN-2	-106.251970000000000	35.858649999999900	2016-06-02	98.1	Y	Y	3
CrIN-3	-106.251780000000000	35.856789999999900	2017-09-21	53.9	Y	Y	3
CrIN-4	-106.255219999999000	35.856499999999900	2016-06-22	88.3	Y	Y	3
CrIN-5	-106.255850000000000	35.856479999999900	2016-11-29	85.4	Y	Y	2
CRPZ-2 S1	-106.256060000000000	35.860280000000000	2018-02-01	97.3	Y	Y	2
CRPZ-3	-106.260050000000000	35.861220000000000	2018-01-30	379	Y	Y	2
CRPZ-4	-106.263290000000000	35.861150000000000	2018-01-31	79.3	Y	Y	2
CRPZ-5	-106.264889999999000	35.860360000000000	2016-04-15	241	Y	Y	3
MCO-0.6	-106.305449999999000	35.867890000000000	2010-07-02	662	Y	N	25
MCO-2	-106.298930000000000	35.865020000000000	2008-11-05	50.2	Y	N	20
MCOBT-4.4	-106.271019999999000	35.860570000000000	2002-04-22	53.6	Y	N	7
MCOI-6	-106.267110000000000	35.860340000000000	2016-11-08	86.6	Y	Y	108
MCOI-8	-106.273920000000000	35.862499999999900	2006-01-30	938	Y	N	8
MO-00050	-106.268430000000000	35.860639999999900	1998-11-16	361	Y	N	2
PCO-1	-106.258430000000000	35.837159999999900	1993-06-07	81	N	N	12
R-15 OB	-106.267240000000000	35.859909999999900	1999-07-22	689	Y	N	4
R-42	-106.259140000000000	35.861289999999900	2010-11-10	995	Y	Y	66
R-5 OB	-106.228770000000000	35.873069999999900	2001-05-12	538	Y	N	4
R-50 S1	-106.255910000000000	35.856659999999900	2012-03-08	99.8	Y	Y	106
R-62	-106.266470000000000	35.863120000000000	2019-05-14	326	Y	Y	63
R-9	-106.223609999999000	35.866979999999900	1997-12-20	75	Y	N	53
SCA-1-DP	-106.310540000000000	35.873609999999900	2010-11-11	97.6	Y	N	27
SCA-4	-106.257279999999000	35.863470000000000	2008-05-12	95.2	Y	N	20
SCI-2	-106.261010000000000	35.863700000000000	2008-10-21	660	Y	Y	101
SCPZ-11(A)	-106.310590000000000	35.873649999999900	2014-08-01	76.51	Y	Y	4
SCPZ-11(B)	-106.310599999999000	35.873649999999900	2014-07-31	61.32	Y	Y	4
SCPZ-2	-106.314760000000000	35.875410000000000	2014-07-30	73.03	Y	Y	6
SCPZ-3	-106.314740000000000	35.875529999999900	2014-08-01	50.82	Y	Y	6
