Location I	Figure Number	Aquifer	Latitude	Longitude	Ground Ele	Geologic U	Well Insta	Total Well	Well Diame	Screen Top	Screen Bot	Comments	WELL_COMPL	Monitoring	Watershed	Well Statu	Inactive D	TOC Elevat	LWA Notes	Source
MCO-4	1	Alluvial	35.86407	-106.28106	6897.54	NULL	10/1/1963 0:00	19	3 in	4	19	MCO-4 plugged and abandoned in 2000, see Benak et al. 2000, MCO-4 Plugged and Abandoned, MCO-4 plugged and abandoned in 2000, see Benak et al. 2000, MCO-4 plugged and abandoned in 2000, see Benak et al. 2000	NULL	General	Mortendad	PA	NULL	[84]	Well Diameter [in] updated from MW	Well Info
MCWB-4	2	Alluvial	35.8639551	-106.2792825	6893.42	Qal		15	3 in	10	15	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12230					None		Monitoring Wells
MCO-4B	3	Alluvial	35.86382	-106.27828	NULL	Qal	8/1/1990 0:00	33.9	2	8.9	28.9	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info
PRB-MW-01	4	Alluvial	35.86383	-106.27775	6881.85	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Monitoring well 1 (upstream), NULL, Mortandad Canyon Permeable Reactive Barrier - Monitoring well 1 (upstream), Mortandad Canyon Permeable Reactive Barrier - Monitoring well 1 (upstream)	NULL	Chromium	Mortendad	NULL	NULL	[84]	Aquifer updated from MW	Well Info
PRB-MW-02	5	Alluvial	35.86373	-106.27756	6881.6	NULL	NULL	NULL	NULL	NULL	NULL	Mortandad Canyon Permeable Reactive Barrier - Monitoring well 2 (downstream), NULL, Mortandad Canyon Permeable Reactive Barrier - Monitoring well 2 (downstream), Mortandad Canyon Permeable Reactive Barrier - Monitoring well 2 (downstream)	NULL	Chromium	Mortendad	NULL	NULL	[84]	Aquifer updated from MW	Well Info
MCO-5	6	Alluvial	35.86339	-106.27683	6875.66	Qal	10/1/1960 0:00	46	3	21	46	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info
MCWB-5	7	Alluvial	35.8632386	-106.2764548	6876.22	Qal		33	3 in	17	27	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12233					None		Monitoring Wells
TSCA-6	8	Alluvial	35.86046	-106.27518	6863.2	Qal	11/9/2004 0:00	21.3	2.1 in	16.2	20.9	Brass cap location, ER B-15/A-6, located in lower Ten Site Canyon, B-15/A-6, Brass cap location, ER B-15/A-6, located in lower Ten Site Canyon, Brass cap location, ER B-15/A-6, located in lower Ten Site Canyon	NULL	General	Mortendad	A	NULL	[84]	Well Diameter [in] updated from MW	Well Info
TSWB-6	9	Alluvial	35.86051	-106.27374	6853.21	Qal	12/21/1994 0:00	40	2.75 in	25	35	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Well Diameter [in] updated from MW	Well Info
MCWB-5.5B	10	Alluvial	35.8622534	-106.2736119	6856.89	Qal		37.5	3 in	22.5	32.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12232					None		Monitoring Wells
