locationID	LONGITUDE	LATITUDE	GROUND_ELE	SURVEYING_	LOCATION_D	LOCATION_C	WELL_TOTAL	DEPTH_UNIT	TOP_OF_CAS	WELL_DIAME	PERFORATIO	PERFORAT_1	AQUIFER	HYDROSTRAT	GEOLOGICAL	WELL_COMPL	field_18
MCWB-4	-106.279282499999000	35.863955099999900	6893.42	S. McLin	None	None	15	ft	None	3 in	10	15	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12230	
18-MW-13	-106.264589000000000	35.838903999999900	6727.3	None	None	TA-18	None	None	None	None	None	None	None	None	None	None	
R-15	-106.267239200000000	35.859910200000000	6820	Completion Report	None	Location info taken from Brass Monument survey data in R-15 WCR.	1030.6	ft	6820	5 in	958.6	1020.3	Regional	Regional Top	Tp	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12319	
R-50	-106.255907600000000	35.856655300000000	6904.11	WCR, SW MTN SURVEY	None	Brass Cap location	None	None	None	None	None	None	None	None	None	None	
R-19 S3	-106.285420800000000	35.837871700000000	7066.3	Well Completion Rpt	None	Location info taken from Brass Cap survey data in R-19 WCR.	None	None	None	None	1171.4	1215.4	Regional	Regional Top	Tpf	None	
R-40 S1	-106.262782300000000	35.839384600000000	6719.24	Completion Report	None	Brass cap location	None	None	None	None	751.59	785.06	Intermediate	Intermediate	Tb4	None	
MCWB-6.5E	-106.272218200000000	35.860764699999900	6843.8	S. McLin	None	None	50	ft	None	3 in	35	45	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12066	
R-43 S1	-106.260734200000000	35.863598400000000	6732.65	WCR, SW MTN SURVEY	None	Brass Cap location	None	None	None	None	903.9	924.6	Regional	Regional Top	Tsfu	None	
R-56 S1	-106.249694100000000	35.834559900000000	6780.88	Well Completion Rpt	None	brass cap location	None	None	None	None	945	965.6	Regional	Regional Top	Tpf	None	
MCWB-8.1B	-106.263016100000000	35.860860799999900	6783.8	S. McLin	None	None	72.5	ft	None	None	47.5	67.5	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12247	
LAUZ-1	-106.273567000000000	35.877868999999900	7032.42	None	None	OU 1106 (TA-21)	None	None	None	None	None	None	None	None	None	None	
ER ID #18-01685	-106.251658699999000	35.832368799999900	6654.7	None	None	None	None	None	None	None	None	None	None	None	None	None	
SCPZ-4	-106.312523600000000	35.874560899999900	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
SIMR-2	-106.251926100000000	35.853745099999900	6702.3	TERRANEAR PMC	None	None	927	ft	6702.3	5 in	885	905.4	Regional	Regional	Tpf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12442	
MCOI-8	-106.273918400000000	35.862496800000000	6859.2	Kleinfelder survey	None	Brass Monument	678.6	ft	6862	4.5 in	665	674.96	Intermediate	Intermediate	Tb4	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12228	
R-10 S1	-106.205965300000000	35.850271200000000	6362.31	Kleinfelder data	None	Brass Cap location Kleinfelder survey	None	None	None	None	874	897	Regional	Regional Deep	Tsf	None	
PAO-3	-106.259010100000000	35.883493399999900	6578.58	D. KATZMAN	None	Pueblo Canyon alluvial wellefile N. McCranie allu PAO-3. Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 170252, duplicate location, changed to Synonym.	13.47	ft	None	4 in	5.62	10.62	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12271	
MCA-3ac S1	-106.273050400000000	35.862095500000000	6853	None	None	None	None	None	None	None	None	None	None	None	None	None	
PCO-2	-106.245669199999000	35.830158699999900	6618.3	Stoker	None	None	9.5	ft	None	None	1.5	9.5	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12285	
R-19 OB	-106.285420800000000	35.837871700000000	7066.3	Well Completion Rpt	None	Location info taken from Brass Cap survey data in R-19 WCR.	None	ft	None	None	-9999	-9999	Intermediate	Intermediate	None	None	
R-5 S4	-106.228767199999000	35.873070499999900	6472.6	Completion Report	None	Location info taken from Brass cap monument survey data from R-5 WCR.	None	None	None	None	858.7	863.7	Regional	Regional Deep	Tsfb	None	
PCAO-6	-106.293216400000000	35.853354699999900	6921.4	SW MTN SURVEY	None	Brass Cap	20	ft	None	4 in	8	15	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12276	
R-55i	-106.227740700000000	35.829931799999900	6534.91	SW MTN SURVEY	None	Brass cap surveyed location as corrected 2/16/11 and rounded to 2 digits - RJK	541.4	ft	6534.91	5 in	510	531.1	Intermediate	Intermediate	Tb4	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12364	
R-37 S2	-106.258734300000000	35.844372900000000	6870.59	Well Completion Rpt	None	Brass monument location	None	None	None	None	1026	1046.6	Regional	Regional	Tpf	None	
