Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Geologic Unit Code	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	WELL_COMPLETION_REPORT_URL	Monitoring Area	Watershed	Well Status	Inactive Date	TOC Elevation	LWA Notes	Source
00-01535	NULL	35.88079	-106.29734	7292.900	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:BOREHOLE MS-7 Notes: Aggregate:, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
01-22571	NULL	35.86356	-106.27721	6881.300	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
02-01021	NULL	35.87639	-106.29293	6887.580	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY WEST OF TA-2 Notes: Aggregate:, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY WEST OF TA-2 Notes: Aggregate:, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY WEST OF TA-2 Notes: Aggregate:	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
02-01022	NULL	35.87621	-106.28971	6861.740	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:SECOND BOREHOLE/WELL EAST OF TA-2 Notes: Aggregate:, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
02-01075	NULL	35.87543	-106.28709	6835.200	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:Intermediate Borehole Notes: Aggregate:Baseline, NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
02-01076	NULL	35.87552	-106.2872	6836.000	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-1, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-1, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-1	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
02-01077	NULL	35.87642	-106.28991	6865.000	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:LAOR-1, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
02-01078	NULL	35.87543	-106.28709	6835.200	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:Intermediate Monitoring Well Notes: Aggregate:Baseline, NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
03-02664	NULL	35.87374	-106.33013	7457.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:03-2664 Notes: Aggregate:03-010(a), NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
03-02667	NULL	35.87378	-106.33022	7451.540	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:03-2667 Notes: Aggregate:03-010(a), NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
03-02681	NULL	35.87323	-106.33071	7405.130	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:00-2681 Notes: Aggregate:03-010(a), NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
03-24529	NULL	35.87378	-106.33015	7457.980	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
03-24530	NULL	35.87372	-106.33012	7458.280	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
03-24548	NULL	35.87374	-106.33008	7458.260	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
03-B-10	Intermediate	35.87372	-106.33012	7458.280	Qbt4	2005-06-04 00:00:00	31.10	2	20.6	30.600	Ground surface elevation Plugged and Abandoned 9/25/09, P&A 9/25/09, Ground surface elevation  Plugged and Abandoned 9/25/09, Ground surface elevation  Plugged and Abandoned 9/25/09	NULL	General	Pajarito	PA	NULL	[84]		Well Info	
03-B-13	Intermediate	35.87374	-106.33008	7458.260	Qbt3	2005-06-10 00:00:00	32.00	2	21.5	31.500	Ground surface elevation, NULL, Ground surface elevation, Ground surface elevation	NULL	General	Pajarito	A	NULL	[84]		Well Info	
03-B-9	Intermediate	35.87378	-106.33015	7457.980	NULL	2005-06-03 00:00:00	31.80	2 in	21.3	31.300	Ground surface elevation Plugged and Abanonded 9/25/09, P&amp;A 9/25/09, Ground surface elevation  Plugged and Abanonded 9/25/09, Ground surface elevation  Plugged and Abanonded 9/25/09	NULL	General	Sandia	PA	NULL	[84]	Well Diameter [in] updated from MW	Well Info	
03-MW-1	Intermediate	35.87374	-106.33013	7457.7	Qbt3	1994-09-22 00:00:00	28.80	2 in	23	28.000	NULL, ER ID 03-02664 plugged and abandoned 6/7/05, ER ID 03-02664 Well plugged and abandoned 6/7/05, ER ID 03-02664 Well plugged and abandoned 6/7/05	NULL	General	Pajarito	PA	NULL	[84]	Ground Elevation updated from MW, Well Diameter [in] updated from MW	Well Info	
06-22848	NULL	35.87533	-106.26487	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-6. Confirmed in R-6 Well Completion Report. Coordinate accuracy is unknown., NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
11-22513	NULL	35.86288	-106.25154	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-11. Coordinate accuracy is unknown., NULL	NULL	Chromium	Sandia	NULL	NULL	[84]		Well Info	
14-02-19968	NULL	35.86177	-106.28564	7062.080	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	MDA C	Mortendad	NULL	NULL	[84]		Well Info	
18-01023	NULL	35.83233	-106.25196	6647.800	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
